	21123	POS
stirs	8	POS
potente	7	POS
coatesville	1	POS
tosca	1	POS
linderby	2	POS
NOT_housewife	2	POS
goddamn	2	POS
parkinson	1	POS
rowed	1	POS
murmurs	1	POS
showtunes	1	POS
teared	2	POS
bulgarian	7	POS
NOT_difficulty	1	POS
outbreaks	1	POS
donned	3	POS
NOT_discusses	1	POS
lancaster	9	POS
bother	21	POS
thx	3	POS
cloning	3	POS
institutes	2	POS
NOT_stitzer	1	POS
80s	137	POS
masochistically	1	POS
trickle	2	POS
miiko	2	POS
miiki	1	POS
consciously	9	POS
usd	2	POS
miike	90	POS
narration	101	POS
yearbook	2	POS
instituted	3	POS
bhand	1	POS
deity	1	POS
raymonde	2	POS
rolle	9	POS
stanwyk	2	POS
profane	6	POS
organic	9	POS
mpk	3	POS
NOT_dialogues	1	POS
NOT_vapid	1	POS
busybody	1	POS
lawlessness	3	POS
sheena	1	POS
optioned	2	POS
subordinate	5	POS
dopes	2	POS
snobby	7	POS
contempt	17	POS
sion	1	POS
scoping	4	POS
scales	7	POS
root	35	POS
sweets	19	POS
roos	1	POS
spiritualized	1	POS
NOT_ur	1	POS
800	4	POS
roof	49	POS
scaled	4	POS
serving	46	POS
kerkor	1	POS
room	460	POS
depot	2	POS
frustrations	12	POS
hypnotized	12	POS
zu	38	POS
bandwagon	6	POS
listings	8	POS
zp	11	POS
zelina	1	POS
adjectives	2	POS
nyquist	1	POS
pepi	7	POS
sanity	20	POS
(	17891	POS
rhythm	52	POS
overenthusiastic	1	POS
yowsa	4	POS
barbu	2	POS
hypnotizes	5	POS
zo	2	POS
bananas	2	POS
regresses	1	POS
despair	59	POS
hotels	6	POS
famously	12	POS
takei	1	POS
pixely	1	POS
darwell	1	POS
taken	447	POS
hostesses	3	POS
succulent	1	POS
turaqui	1	POS
echt	1	POS
mapother	1	POS
broz	1	POS
brox	1	POS
NOT_exhausting	1	POS
NOT_gooding	1	POS
NOT_protagonists	6	POS
bros	35	POS
taker	34	POS
takes	1217	POS
brow	20	POS
bertram	3	POS
washburn	2	POS
NOT_absorbs	1	POS
garners	1	POS
bombastic	15	POS
wench	1	POS
cornered	8	POS
overpaid	5	POS
NOT_philo	1	POS
castle	231	POS
dysfunctinal	1	POS
intelligence	122	POS
geologist	2	POS
bergmanesque	2	POS
albot	1	POS
clockwork	12	POS
NOT_clashes	1	POS
NOT_hong	7	POS
halliran	1	POS
lemons	1	POS
NOT_professor	3	POS
westway	1	POS
NOT_honk	1	POS
asians	8	POS
galipeau	9	POS
NOT_freely	1	POS
implore	3	POS
creative	203	POS
organs	8	POS
procrastinating	2	POS
histories	4	POS
NOT_mangoes	1	POS
averse	1	POS
constabulary	2	POS
specially	57	POS
directer	5	POS
crocodiles	4	POS
steadfastly	3	POS
boromir	5	POS
directed	624	POS
torpedoing	2	POS
suspense	364	POS
NOT_ithaca	1	POS
skulking	1	POS
NOT_times	46	POS
boundary	4	POS
fumblingly	1	POS
rajshree	2	POS
disagree	86	POS
entice	9	POS
fez	24	POS
unfold	51	POS
silences	7	POS
cineaste	3	POS
lansbury	25	POS
divergence	1	POS
arcam	1	POS
whereby	10	POS
carotids	1	POS
psycho	116	POS
heaviness	3	POS
silenced	5	POS
bloodsucking	1	POS
plummer	10	POS
tapdancing	1	POS
pseuds	1	POS
zero	121	POS
literature	51	POS
transforming	8	POS
NOT_spock	3	POS
hammers	2	POS
NOT_chritmas	1	POS
opted	8	POS
deported	4	POS
NOT_berlin	1	POS
grable	15	POS
underserved	1	POS
muerte	1	POS
pseudo	28	POS
splitters	1	POS
enough	1118	POS
NOT_informing	1	POS
redoubtable	2	POS
arthritic	2	POS
enya	1	POS
ambiance	22	POS
songwriter	10	POS
NOT_mills	1	POS
arthritis	3	POS
NOT_sets	16	POS
affinity	10	POS
behr	2	POS
journals	6	POS
modot	1	POS
scudded	1	POS
technocratic	2	POS
trap	52	POS
crimelord	1	POS
fights	125	POS
tray	3	POS
gimenez	1	POS
ffoliott	1	POS
insignificant	17	POS
mcquarrie	1	POS
NOT_acquaintance	1	POS
deroubaix	1	POS
presentation	86	POS
fightm	1	POS
NOT_kung	10	POS
bistro	1	POS
dustier	1	POS
NOT_disillusioning	1	POS
yokozuna	8	POS
yrs	7	POS
creators	67	POS
NOT_reemerge	1	POS
xmas	2	POS
outr	1	POS
outs	26	POS
decadent	11	POS
NOT_becouse	1	POS
arguable	3	POS
salient	2	POS
NOT_carrell	3	POS
time	6113	POS
aakrosh	1	POS
NOT_wilson	2	POS
NOT_theatrically	3	POS
rorke	1	POS
amanhecer	1	POS
friar	2	POS
mccheese	2	POS
discriminatory	1	POS
atul	10	POS
portfolio	2	POS
override	4	POS
clu	3	POS
bdus	1	POS
jutra	1	POS
driscoll	8	POS
tori	1	POS
begged	15	POS
cinerama	2	POS
trust	149	POS
NOT_cradle	1	POS
NOT_rohm	1	POS
stephan	3	POS
screenlay	1	POS
astrotech	1	POS
NOT_blier	2	POS
restoration	26	POS
undoubtably	3	POS
kidmans	2	POS
inconceivable	3	POS
jerilderie	3	POS
NOT_sith	1	POS
bench	15	POS
dicken	7	POS
NOT_jeanson	1	POS
sportsmanship	2	POS
subdued	26	POS
defenseless	4	POS
hawn	13	POS
million	159	POS
dicker	1	POS
NOT_lovable	3	POS
clowned	1	POS
transsexuals	3	POS
strangers	39	POS
clubhouse	3	POS
pounded	3	POS
hopers	1	POS
NOT_limit	3	POS
anglophile	1	POS
festivities	5	POS
krisak	3	POS
NOT_knuckle	1	POS
bbc2	2	POS
bbc1	4	POS
experiments	30	POS
opacity	1	POS
apartheid	31	POS
answer	135	POS
grownup	1	POS
strivings	1	POS
rites	11	POS
geena	1	POS
elevator	36	POS
credit	233	POS
inflation	7	POS
foraging	1	POS
NOT_earl	1	POS
filmhistory	1	POS
argh	2	POS
erring	2	POS
argo	1	POS
timoteo	1	POS
renamed	6	POS
muddled	13	POS
NOT_ears	2	POS
ballesta	4	POS
offworlders	1	POS
NOT_looney	1	POS
officials	27	POS
intrinsically	6	POS
ops	1	POS
marble	4	POS
cauliflower	1	POS
opt	1	POS
favrioutes	1	POS
priest	64	POS
willingness	14	POS
rehearsing	14	POS
arbitrary	7	POS
legitimacy	2	POS
enacting	3	POS
genial	2	POS
NOT_friends	37	POS
oph	1	POS
eccentric	70	POS
salman	16	POS
NOT_mismatched	1	POS
outwits	1	POS
invent	11	POS
sternwood	1	POS
obscene	15	POS
alexei	1	POS
NOT_enticing	1	POS
darren	70	POS
NOT_monopoly	2	POS
formatting	1	POS
hipocresy	1	POS
sewer	11	POS
ratchet	1	POS
NOT_inch	1	POS
mecgreger	1	POS
engendered	2	POS
techie	1	POS
brasher	1	POS
audio	54	POS
jerking	12	POS
gallic	1	POS
manicured	4	POS
midway	16	POS
lighthorseman	1	POS
audie	4	POS
bounded	3	POS
NOT_dracula	1	POS
filmographers	1	POS
zhao	2	POS
NOT_stimulation	1	POS
scouted	1	POS
uniting	3	POS
downloading	3	POS
audit	3	POS
NOT_stakes	1	POS
shaun	23	POS
celebertis	1	POS
returned	59	POS
canuck	1	POS
overblown	25	POS
cosimos	1	POS
NOT_evenly	1	POS
lefler	3	POS
widowhood	1	POS
paintball	2	POS
reversals	4	POS
killjoy	1	POS
NOT_sorcerer	1	POS
bach	40	POS
boyfriends	15	POS
sorcha	1	POS
back	2435	POS
schmaltzy	7	POS
taboos	5	POS
agitators	1	POS
stitched	3	POS
sylvain	5	POS
inciteful	1	POS
argentinean	3	POS
leisin	4	POS
madge	12	POS
NOT_borowczyk	1	POS
NOT_angry	4	POS
surplus	4	POS
stitches	20	POS
spescially	1	POS
chacun	1	POS
hustling	6	POS
overlapped	1	POS
pierrot	4	POS
bah	1	POS
NOT_stock	5	POS
requirement	5	POS
gunnar	3	POS
pinup	9	POS
jerry	216	POS
hulce	16	POS
ojibway	5	POS
NOT_concept	11	POS
neilsen	2	POS
grays	3	POS
innovations	6	POS
jerri	2	POS
morphing	4	POS
darkish	1	POS
morphine	1	POS
cormack	2	POS
life	4003	POS
zarustica	1	POS
NOT_including	8	POS
kudisch	5	POS
NOT_did	223	POS
NOT_accepted	12	POS
ramala	4	POS
NOT_die	43	POS
untypical	3	POS
lift	23	POS
trench	6	POS
proudest	1	POS
nisep	1	POS
lazarushian	1	POS
potch	2	POS
mistress	62	POS
enlists	13	POS
gorefests	1	POS
environments	13	POS
NOT_threaten	1	POS
espouse	1	POS
cushion	5	POS
permits	9	POS
footages	1	POS
capturing	55	POS
lasting	46	POS
stedicam	2	POS
preference	14	POS
outshining	2	POS
maggots	7	POS
NOT_vcr	3	POS
valuation	1	POS
baccalaur	1	POS
NOT_pictures	16	POS
klaang	6	POS
relying	23	POS
scrutinising	1	POS
NOT_fastest	2	POS
rowboat	1	POS
stingy	5	POS
NOT_chief	2	POS
NOT_toes	1	POS
padruig	2	POS
sacristan	1	POS
chaffing	1	POS
stings	2	POS
NOT_desert	3	POS
NOT_pictured	2	POS
spinozean	1	POS
eclecticism	2	POS
NOT_toilet	3	POS
examplary	1	POS
deaththreats	1	POS
gunman	12	POS
NOT_waugh	1	POS
renovate	3	POS
hermione	9	POS
willful	5	POS
NOT_digging	1	POS
NOT_promising	4	POS
emmett	1	POS
widmark	126	POS
glorifies	4	POS
ogden	4	POS
NOT_shannon	1	POS
NOT_reunion	10	POS
provisions	1	POS
NOT_circularity	1	POS
confidential	10	POS
saturn	2	POS
NOT_felicities	1	POS
sensationalised	2	POS
jelaousy	1	POS
jaundiced	1	POS
newbern	1	POS
woodchuck	1	POS
fathom	6	POS
dandelions	1	POS
yaphet	7	POS
tempers	3	POS
kabuliwallah	1	POS
screamed	14	POS
NOT_bruno	1	POS
1801	1	POS
testifying	1	POS
series	2025	POS
guts	56	POS
NOT_homework	3	POS
1800	7	POS
NOT_camper	1	POS
eurovision	1	POS
judges	19	POS
NOT_digicorp	1	POS
patrick	146	POS
archetypical	2	POS
redden	1	POS
NOT_pitied	1	POS
linaker	2	POS
judged	26	POS
subdivision	1	POS
lusts	4	POS
freshened	1	POS
jedis	1	POS
minus	23	POS
kimmy	3	POS
naff	3	POS
conflicts	55	POS
abhimaan	1	POS
nocturne	1	POS
lusty	6	POS
NOT_taught	1	POS
sharron	3	POS
horrors	73	POS
govno	2	POS
127	1	POS
125	1	POS
120	11	POS
glorified	5	POS
kitbag	1	POS
opinionated	4	POS
128	2	POS
ahoy	1	POS
lacey	2	POS
NOT_devastating	2	POS
overlook	45	POS
itttttttt	1	POS
footmats	1	POS
gubbarre	1	POS
laces	5	POS
dividend	1	POS
bold	61	POS
kronfeld	1	POS
messiness	3	POS
NOT_edel	1	POS
soulhealer	1	POS
notoriety	10	POS
emmanuelle	20	POS
laced	19	POS
NOT_refreshing	3	POS
nogales	3	POS
bolt	9	POS
nosferatu	6	POS
heroicly	1	POS
millena	1	POS
midpoint	1	POS
gauleiter	1	POS
terrifyingly	7	POS
prurience	1	POS
homestead	4	POS
aficionado	5	POS
victory	51	POS
demanding	36	POS
hospitality	2	POS
kongwon	1	POS
firefall	1	POS
unlovable	1	POS
barcelona	3	POS
sayid	2	POS
downplayed	4	POS
sayin	1	POS
NOT_mingle	1	POS
derek	51	POS
NOT_sight	17	POS
tochir	1	POS
NOT_klugman	1	POS
scariness	5	POS
decomposing	7	POS
trance	10	POS
foolishness	3	POS
minimize	2	POS
tomato	5	POS
yali	3	POS
hysterically	17	POS
mummified	3	POS
smarter	14	POS
corrections	2	POS
vilification	1	POS
cretin	1	POS
dambusters	1	POS
release	440	POS
yale	3	POS
nichols	5	POS
prudent	2	POS
frequently	87	POS
NOT_roses	1	POS
higuchi	4	POS
dishes	9	POS
histoire	1	POS
petrifying	5	POS
filthier	1	POS
downstream	1	POS
lanquage	1	POS
acropolis	1	POS
speared	1	POS
NOT_bending	1	POS
intercedes	3	POS
zeland	1	POS
burgermeister	2	POS
writhes	1	POS
giddy	10	POS
fraternity	1	POS
dorks	1	POS
indecipherable	3	POS
macedonia	2	POS
presto	2	POS
convicted	40	POS
historia	1	POS
dorky	9	POS
buzz	24	POS
equivalent	35	POS
winston	6	POS
NOT_wayne	5	POS
copulating	1	POS
NOT_natives	3	POS
finery	1	POS
despising	1	POS
insist	23	POS
duvall	46	POS
NOT_google	1	POS
herilhy	1	POS
brimstone	2	POS
meckern	1	POS
harmonica	3	POS
suitcase	6	POS
chief	139	POS
NOT_warrior	2	POS
recommanded1	1	POS
NOT_gags	7	POS
bitches	3	POS
chien	2	POS
carlito	9	POS
turan	3	POS
stroheims	1	POS
NOT_loose	7	POS
pandas	1	POS
preemptive	1	POS
modest	35	POS
malthusian	1	POS
raja	18	POS
befell	1	POS
nigga	1	POS
vocabulary	12	POS
straithrain	1	POS
NOT_christie	2	POS
bettany	12	POS
vault	10	POS
NOT_insulted	1	POS
downward	16	POS
NOT_evidence	4	POS
NOT_authentic	6	POS
ambersons	5	POS
definetely	4	POS
fintail	1	POS
sigrist	1	POS
schwarzeneggar	3	POS
canvases	5	POS
NOT_skinning	1	POS
traditionaled	1	POS
uppercrust	1	POS
bouts	5	POS
pollyanna	2	POS
baskervilles	1	POS
determined	104	POS
coaching	5	POS
fanbase	2	POS
blacklisting	1	POS
NOT_lumi	1	POS
NOT_roeper	1	POS
rejects	24	POS
harilal	39	POS
infamy	4	POS
mention	189	POS
normality	4	POS
llydia	1	POS
shoufukutei	1	POS
perusing	1	POS
saccharin	1	POS
fare	98	POS
wanderlust	1	POS
duckies	2	POS
situation	370	POS
captian	1	POS
ashley	48	POS
cuddly	9	POS
elicits	7	POS
givens	1	POS
coney	4	POS
tyson	10	POS
NOT_think	595	POS
nauseum	1	POS
parton	3	POS
NOT_thing	136	POS
cones	1	POS
NOT_escaping	2	POS
NOT_by	583	POS
bedazzled	3	POS
appealing	124	POS
NOT_be	1779	POS
tangent	2	POS
upstate	5	POS
cantankerous	7	POS
eras	13	POS
maytime	1	POS
farm	63	POS
procreate	1	POS
broinowski	10	POS
subtlties	1	POS
mili	3	POS
NOT_deny	20	POS
milk	37	POS
mill	59	POS
milo	21	POS
mila	4	POS
wishbone	1	POS
mild	59	POS
mile	50	POS
milf	4	POS
coupling	8	POS
bosses	36	POS
origins	33	POS
NOT_midway	2	POS
christina	43	POS
christine	50	POS
ralph	112	POS
killed	421	POS
chriterion	1	POS
enlightening	12	POS
NOT_grips	1	POS
registrar	3	POS
bowler	9	POS
NOT_opinion	28	POS
ality	1	POS
NOT_reputation	10	POS
NOT_penguin	1	POS
thornton	5	POS
dowdell	1	POS
bicycles	2	POS
greencine	1	POS
deconstruction	7	POS
NOT_avenging	1	POS
bloss	6	POS
NOT_higher	15	POS
NOT_grown	9	POS
elm	34	POS
eli	19	POS
powerlessness	1	POS
huzoor	2	POS
qustions	1	POS
hickman	1	POS
elf	5	POS
NOT_moods	2	POS
beswicke	1	POS
shahi	1	POS
bayliss	5	POS
wolfstein	1	POS
ely	7	POS
mockumentary	6	POS
gathers	10	POS
gavras	1	POS
omarosa	1	POS
duff	25	POS
disbeliever	1	POS
escaping	31	POS
vacations	1	POS
NOT_mcbain	1	POS
looped	1	POS
sackville	1	POS
broson	1	POS
undersea	2	POS
cheating	45	POS
NOT_manicured	1	POS
NOT_zu	1	POS
sophisticate	1	POS
elbowroom	1	POS
islamic	7	POS
attack	174	POS
musician	40	POS
spearhead	3	POS
attach	5	POS
NOT_again	88	POS
shreds	4	POS
teacup	2	POS
orgolini	1	POS
illinois	20	POS
criteria	7	POS
inventively	2	POS
NOT_break	24	POS
kwong	1	POS
process	154	POS
granted	97	POS
avril	3	POS
atypically	3	POS
NOT_tank	1	POS
satchwell	1	POS
NOT_outings	1	POS
kenji	5	POS
drivas	3	POS
miltonesque	1	POS
undervalued	7	POS
sandrich	5	POS
inquisitor	2	POS
horrizon	1	POS
giancaro	1	POS
duquenne	6	POS
NOT_coos	1	POS
denouement	29	POS
dope	8	POS
hault	1	POS
chants	2	POS
leaning	5	POS
yikes	10	POS
imitators	5	POS
NOT_initially	9	POS
darkend	1	POS
inebriated	3	POS
ciarin	1	POS
appliance	3	POS
slowenian	1	POS
clarksberg	3	POS
idyllic	14	POS
israelo	1	POS
israeli	21	POS
darkens	3	POS
7th	16	POS
genorisity	1	POS
NOT_polar	2	POS
pasty	1	POS
NOT_orbach	1	POS
pasts	7	POS
afrikaners	1	POS
NOT_needing	1	POS
brideshead	2	POS
veddar	1	POS
pollution	10	POS
lesbian	55	POS
heterai	1	POS
weaving	13	POS
clambers	1	POS
pasta	1	POS
marchand	9	POS
miscegenation	1	POS
NOT_gangsta	1	POS
paste	4	POS
silo	1	POS
NOT_priest	6	POS
maladjusted	1	POS
mugs	3	POS
undercut	1	POS
donnagio	1	POS
NOT_hastily	1	POS
bois	1	POS
decimate	1	POS
NOT_energy	7	POS
snowed	2	POS
dyed	2	POS
springtime	2	POS
applauded	17	POS
sunscreen	1	POS
NOT_greene	1	POS
marks	70	POS
percussionist	1	POS
killearn	4	POS
NOT_system	15	POS
culloden	1	POS
portrayl	1	POS
ledge	2	POS
futures	9	POS
marky	1	POS
toothed	4	POS
keep	758	POS
cyclist	1	POS
keel	1	POS
keen	35	POS
NOT_charm	10	POS
NOT_greens	1	POS
NOT_asthmatic	1	POS
portrays	151	POS
reaching	46	POS
NOT_youtube	1	POS
indoctrination	2	POS
wilbur	2	POS
helpfully	2	POS
wendigos	1	POS
shadow	105	POS
NOT_galactica	1	POS
idioms	1	POS
instilled	2	POS
repossessed	2	POS
bakshi	105	POS
nicholas	45	POS
trucking	1	POS
NOT_talents	5	POS
biographers	1	POS
shelby	8	POS
fact	1605	POS
NOT_krasner	1	POS
burnstyn	4	POS
NOT_line	29	POS
woodman	2	POS
cooperative	2	POS
wastrel	7	POS
face	776	POS
27th	3	POS
chowing	1	POS
NOT_mclaglen	1	POS
lunacy	14	POS
carnaby	1	POS
choronzhon	1	POS
minotaur	1	POS
lohan	2	POS
NOT_kicking	2	POS
intermingles	1	POS
kwouk	1	POS
indies	7	POS
NOT_shorthand	1	POS
brevity	2	POS
busco	1	POS
worry	30	POS
syncing	4	POS
intermingled	1	POS
southampton	5	POS
indien	2	POS
resists	9	POS
NOT_blonde	2	POS
NOT_partition	2	POS
metaphorical	9	POS
teachs	1	POS
doe	8	POS
NOT_consistent	3	POS
cinequanon	1	POS
indiscretions	2	POS
NOT_dispute	2	POS
launius	5	POS
ekin	7	POS
shortcut	2	POS
NOT_baloopers	1	POS
enervating	2	POS
noway	1	POS
NOT_silents	4	POS
vermette	1	POS
seminarians	1	POS
blinders	2	POS
prowess	15	POS
leeves	3	POS
NOT_goldust	1	POS
NOT_characters	156	POS
whistlestop	1	POS
comdey	2	POS
exotic	48	POS
manierism	1	POS
fruedian	1	POS
NOT_offering	2	POS
cherche	1	POS
mulholland	13	POS
tenacity	3	POS
comden	1	POS
disintegration	3	POS
aykroyd	3	POS
alabama	8	POS
NOT_parts	32	POS
ghoulish	4	POS
NOT_huh	1	POS
champion	43	POS
NOT_asleep	2	POS
rintaro	2	POS
pressing	14	POS
tarte	1	POS
NOT_robots	1	POS
conflicted	32	POS
NOT_capitalized	1	POS
paraday	1	POS
NOT_layers	3	POS
concieling	1	POS
twirl	2	POS
spectacles	4	POS
savings	5	POS
veers	11	POS
meekly	1	POS
saucy	7	POS
halsslag	2	POS
orin	1	POS
coupe	3	POS
kruis	4	POS
kuan	1	POS
ahlberg	1	POS
meritocracy	3	POS
stollen	1	POS
gouges	1	POS
NOT_malevolent	1	POS
sauce	4	POS
coups	5	POS
NOT_mutual	3	POS
folksy	7	POS
NOT_hotshot	1	POS
pevensie	1	POS
bowie	12	POS
invests	3	POS
NOT_sweetest	1	POS
NOT_derailed	1	POS
landry	1	POS
littlefield	8	POS
skateboards	1	POS
idiosyncrasies	9	POS
blubbering	2	POS
rumoured	3	POS
NOT_remarks	2	POS
NOT_gunpoint	1	POS
positioning	2	POS
windshields	1	POS
scootin	1	POS
butterick	1	POS
hedgehog	1	POS
mutilation	6	POS
NOT_lamberto	1	POS
morphett	2	POS
2hr	1	POS
manners	39	POS
teller	20	POS
daffy	8	POS
NOT_terminator	4	POS
halliwell	1	POS
braddock	1	POS
NOT_1040s	1	POS
easthampton	2	POS
frenhoffer	1	POS
atmospherics	5	POS
honkong	1	POS
cookie	28	POS
NOT_liberal	2	POS
scourge	2	POS
noise	37	POS
aeroplane	2	POS
dial	4	POS
unemployment	8	POS
distributor	12	POS
NOT_unpunished	1	POS
NOT_knights	1	POS
dias	1	POS
eventuate	1	POS
combining	24	POS
NOT_prose	1	POS
ltd	1	POS
diaz	24	POS
wasps	2	POS
lta	7	POS
sooner	24	POS
NOT_votes	2	POS
NOT_indian	11	POS
NOT_emotive	1	POS
haft	1	POS
congeniality	1	POS
pistols	1	POS
repo	2	POS
ving	3	POS
transmission	6	POS
equip	3	POS
naive	122	POS
xenophobia	3	POS
cutaway	2	POS
NOT_scariest	3	POS
NOT_evokes	1	POS
brandie	1	POS
cont	1	POS
paternity	1	POS
jive	1	POS
lawn	19	POS
NOT_teenager	3	POS
routinely	11	POS
westworld	1	POS
denton	2	POS
differentiation	1	POS
specials	11	POS
dressed	143	POS
anbuselvan	1	POS
width	2	POS
fruitless	4	POS
vlissingen	3	POS
NOT_facet	1	POS
laws	45	POS
NOT_sniper	1	POS
NOT_downfall	1	POS
NOT_faces	8	POS
NOT_playboy	2	POS
sonorous	2	POS
NOT_based	43	POS
inexpensive	2	POS
valco	4	POS
skirt	13	POS
kayaker	1	POS
diabetes	1	POS
yonekura	2	POS
loui	1	POS
cawing	1	POS
NOT_pretends	1	POS
antagonism	2	POS
purveyor	2	POS
ability	209	POS
deception	21	POS
gudrun	1	POS
wanderng	1	POS
aurora	7	POS
fye	1	POS
cineplexes	1	POS
desertion	1	POS
1957	24	POS
1956	24	POS
1955	33	POS
1954	18	POS
1953	47	POS
1952	20	POS
1951	37	POS
1950	126	POS
antagonist	16	POS
revolted	2	POS
NOT_bracco	1	POS
1959	41	POS
1958	32	POS
intruders	5	POS
gwynne	20	POS
fins	1	POS
golden	173	POS
fink	3	POS
fini	5	POS
pending	3	POS
finn	3	POS
NOT_equivalent	3	POS
aisle	11	POS
heavy	236	POS
fine	842	POS
find	2039	POS
NOT_scares	5	POS
snowstorm	2	POS
eventual	36	POS
faulkner	3	POS
NOT_grieve	7	POS
stop	347	POS
NOT_online	3	POS
karogi	1	POS
NOT_scared	16	POS
cinematographed	1	POS
blandishments	1	POS
alternatively	3	POS
damon	67	POS
angasm	1	POS
mailbox	3	POS
enthralling	31	POS
thesp	1	POS
NOT_astor	1	POS
waggon	1	POS
vanties	1	POS
frontiersman	1	POS
qualen	2	POS
sequestered	2	POS
NOT_loretta	2	POS
grunts	5	POS
bye	48	POS
neurobiology	1	POS
london	246	POS
energetic	47	POS
criterion	22	POS
cutter	38	POS
epitome	27	POS
littlehammer16787	1	POS
entitle	1	POS
chrstian	1	POS
NOT_develop	16	POS
whiner	1	POS
ignominiously	1	POS
378	1	POS
glorfindel	1	POS
admitt	1	POS
permitting	2	POS
offon	4	POS
tributes	1	POS
religiously	5	POS
abuses	8	POS
reverberations	2	POS
bugundian	2	POS
tributed	1	POS
mastered	9	POS
unexploded	2	POS
assassinations	2	POS
kane	66	POS
ondine	1	POS
NOT_prods	1	POS
NOT_snore	1	POS
bava	17	POS
NOT_exhuberance	1	POS
harbou	3	POS
educators	1	POS
NOT_mother	44	POS
poonam	12	POS
harbor	21	POS
guildenstern	2	POS
overwatched	1	POS
genious	3	POS
NOT_recognise	4	POS
stolen	85	POS
bullets	38	POS
renderings	4	POS
melodies	14	POS
transform	12	POS
ainley	1	POS
agreement	13	POS
menij	1	POS
roughneck	2	POS
napalm	8	POS
kailin	1	POS
psychedelic	25	POS
ayers	3	POS
psychedelia	1	POS
completing	12	POS
rodent	5	POS
NOT_flagrantly	1	POS
geriatric	2	POS
zadora	2	POS
NOT_usage	2	POS
forehead	4	POS
enclosing	1	POS
blitzkriegs	1	POS
NOT_survival	1	POS
NOT_route	2	POS
doyleluver	1	POS
tableware	1	POS
obliterate	2	POS
bricklayer	1	POS
NOT_friedkin	1	POS
atrocity	8	POS
pledging	1	POS
rappel	1	POS
NOT_distorted	2	POS
decide	183	POS
camp	223	POS
cams	1	POS
kabir	2	POS
brothel	19	POS
scorcese	15	POS
morita	8	POS
illnesses	6	POS
parasites	10	POS
labelled	6	POS
came	854	POS
downgrading	1	POS
necheyev	1	POS
NOT_stones	1	POS
NOT_roeg	1	POS
»	20	POS
dylan	42	POS
camo	1	POS
littler	1	POS
utilized	13	POS
graininess	1	POS
amuro	1	POS
soprana	1	POS
lesbonk	1	POS
NOT_pendelton	1	POS
achingly	15	POS
disagreeing	3	POS
syria	1	POS
arngrim	1	POS
freight	4	POS
NOT_overstay	2	POS
NOT_spade	2	POS
utilizes	8	POS
ankush	10	POS
inklings	1	POS
NOT_full	72	POS
vamp	13	POS
lagos	1	POS
shirtless	3	POS
wonderment	3	POS
wirework	3	POS
studly	3	POS
physicality	4	POS
NOT_formidable	2	POS
prepared	77	POS
nuveau	1	POS
itchy	26	POS
NOT_opposed	2	POS
NOT_commission	1	POS
lots	386	POS
lotr	20	POS
NOT_punished	2	POS
lott	1	POS
NOT_outdo	1	POS
confiscates	1	POS
kettle	2	POS
NOT_talkie	1	POS
older	376	POS
beija	2	POS
cabells	1	POS
failures	21	POS
maugham	21	POS
maughan	3	POS
spanish	140	POS
cramping	1	POS
seinfield	1	POS
goblins	4	POS
criticisms	25	POS
NOT_wherein	1	POS
straithern	1	POS
qian	3	POS
schlatter	2	POS
reunifying	1	POS
indicative	7	POS
mclaglin	1	POS
reuniting	3	POS
bl	1	POS
NOT_considerable	1	POS
facilities	8	POS
NOT_actors	94	POS
skerrit	2	POS
improvise	7	POS
spoorloos	5	POS
firefighter	16	POS
NOT_retire	3	POS
trike	1	POS
NOT_improvement	1	POS
slow	453	POS
slot	11	POS
8bit	1	POS
NOT_connect	10	POS
meredith	24	POS
NOT_pressure	2	POS
cradle	7	POS
nagging	5	POS
bi	6	POS
liyan	2	POS
gis	2	POS
multiplying	1	POS
limits	56	POS
gil	17	POS
NOT_hanks	4	POS
gin	3	POS
slob	15	POS
cussed	1	POS
incisive	6	POS
prozac	2	POS
gig	20	POS
NOT_expressionist	2	POS
gic	1	POS
depicted	120	POS
stillness	5	POS
NOT_eating	10	POS
restaurateur	1	POS
strickland	10	POS
lecouvreur	1	POS
vulgarity	9	POS
lujan	1	POS
excruciating	8	POS
eastland	3	POS
wiles	2	POS
deconstructed	4	POS
lassalle	12	POS
protestants	6	POS
wiest	3	POS
tenaru	1	POS
erode	1	POS
NOT_blast	4	POS
beaters	1	POS
skillful	14	POS
fightfest	1	POS
flaky	5	POS
neighborliness	1	POS
tempestuous	3	POS
eward	1	POS
kinda	115	POS
jeanette	14	POS
mnouchkine	1	POS
streaked	1	POS
inarticulated	1	POS
wallach	18	POS
fellowes	11	POS
bellowing	2	POS
voices	119	POS
graystone	2	POS
NOT_salutary	1	POS
nella	2	POS
snapshot	10	POS
swoosie	2	POS
NOT_dazed	1	POS
agency	39	POS
rosi	1	POS
NOT_idiots	2	POS
bellhop	1	POS
nelly	3	POS
standpoint	12	POS
thirty	57	POS
okada	12	POS
eulogies	1	POS
dumbfounded	2	POS
tombs	1	POS
NOT_andretti	1	POS
bores	7	POS
mandartory	1	POS
assery	2	POS
NOT_causes	1	POS
hilcox	1	POS
messes	10	POS
discardable	1	POS
NOT_issue	18	POS
focussing	3	POS
brommel	8	POS
mexicans	2	POS
NOT_caused	15	POS
weighs	4	POS
weight	68	POS
bored	123	POS
NOT_intensely	2	POS
arvide	1	POS
NOT_introduction	4	POS
NOT_agony	2	POS
ei	2	POS
